Make,Model,Year,Transmission Type,Color,Type,Location,Price
Lexus,RX 350,2015,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 31,000,000"
Mercedes-Benz,M Class,2014,Automatic,Gray,Foreign Used,"Lagos, Magodo","₦ 27,000,000"
Hyundai,Elantra,2014,Automatic,Black,Local Used,"Lagos, Lekki","₦ 7,500,000"
Toyota,Highlander,2018,Automatic,Red,Foreign Used,"Lagos, Amuwo-Odofin","₦ 29,000,000"
Lexus,GX,2015,Automatic,White,Local Used,"Lagos, Agege","₦ 39,500,000"
Toyota,RAV4 2.5 Limited,2010,Automatic,Black,Local Used,"Lagos, Abule Egba","₦ 5,950,000"
Toyota,Sienna XLE Limited,2005,Automatic,Gold,Foreign Used,"Lagos, Apapa","₦ 11,500,000"
Toyota,Highlander Limited,2008,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 16,800,000"
Lexus,GS 300 Automatic,2007,Automatic,Black,Local Used,"Lagos, Ikeja","₦ 6,900,000"
Honda,Civic,2017,Automatic,Gray,Local Used,"Lagos, Ikeja","₦ 12,190,000"
Mercedes-Benz,GLC-Class,2016,Automatic,White,Foreign Used,"Lagos, Lekki","₦ 37,000,000"
Lexus,ES 330,2006,Automatic,Brown,Local Used,"Oyo, Ibadan","₦ 6,300,000"
Toyota,Fortuner,2016,Automatic,Black,Local Used,"Lagos, Ikeja","₦ 25,500,000"
Lexus,ES 300,2003,Automatic,Black,Local Used,"Ogun, Abeokuta South","₦ 5,500,000"
Hyundai,Sonata,2015,Automatic,Black,Foreign Used,"Abuja, Gwarinpa","₦ 16,500,000"
Toyota,Corolla Sedan Automatic,2004,Automatic,Silver,Local Used,"Lagos, Abule Egba","₦ 4,300,000"
Toyota,Land Cruiser Prado 2.7,2019,Automatic,Black,Local Used,"Lagos, Ikeja","₦ 18,000,000"
Toyota,Camry,2014,Automatic,Silver,Foreign Used,"Lagos, Lekki","₦ 13,500,000"
Toyota,Yaris Base Sedan 4dr,2011,Automatic,Gray,Foreign Used,"Abuja, Garki 2","₦ 8,200,000"
Toyota,Highlander,2015,Automatic,Black,Foreign Used,"Kaduna, Kaduna / Kaduna State","₦ 36,300,000"
Mercedes-Benz,C300,2013,Automatic,Black,Local Used,"Lagos, Ikeja","₦ 11,000,000"
Kia,Mohave,2010,Automatic,Gray,Local Used,"Lagos, Ogba","₦ 5,500,000"
Toyota,Camry,2020,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 36,500,000"
Toyota,Venza AWD,2011,Automatic,Gold,Local Used,"Ondo, Akure","₦ 12,150,000"
Toyota,Highlander Sport,2010,Automatic,White,Local Used,"Lagos, Ikeja","₦ 12,500,000"
Toyota,Sequoia Platinum 4x4,2019,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 44,000,000"
Honda,Accord,2019,Automatic,Black,Local Used,"Rivers, Port-Harcourt","₦ 19,500,000"
